Lettre	Date	Lieu de création	Auteur	Destinataire	Personnes mentionnées	Lieux mentionnés	Œuvres mentionnées
1900_04	1900-09-07	Schulstrasse 60, Francfort s/M	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Ida Spier, Anna Scholderer, Viktor Dubourg, Victoria Thoma, Hans Müller Scholderer, Luise Philippine Conradine Dubourg, Charlotte	Paris Paris, Exposition Universelle, 1900 Francfort sur le Main, Städelsches Kunstinstitut Buré (Normandie) Kronberg im Taunus	
1901_01	1901-05-21	Paris	Fantin-Latour, Henri	Scholderer, Otto	Spier, Anna Scholderer, Luise Philippine Conradine Scholderer, Viktor Edwards, Ruth Dubourg, Charlotte Dubourg, Victoria	Francfort-sur-le-Main Paris, Salon	
1901_02	1901-05-24	S.l.	Fantin-Latour, Henri	Scholderer, Otto	Edwards, Ruth Scholderer, Viktor Scholderer, Luise Philippine Conradine	Francfort-sur-le-Main Kronberg im Taunus	
1901_03	1901-06-18	Buré par Le Mesle sur Sarthe, Orne	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Viktor Scholderer, Luise Philippine Conradine Dubourg, Victoria Cazin, Jean Charles Thoma, Hans	Paris, Salon Kronberg im Taunus	
1901_04	1901-07-25	Buré par Le Mesle sur Sarthe, Orne	Fantin-Latour, Henri	Scholderer, Otto	Dubourg, Charlotte Dubourg, Victoria Scholderer, Luise Philippine Conradine Scholderer, Viktor Schienholz,	Kronberg im Taunus	
1901_05	1901-10-25	S.l.	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Luise Philippine Conradine Janovski, Marie	Francfort-sur-le-Main Kronberg im Taunus Anvers	F Autoportrait assis, la palette à la main S Hof eines Bauernhauses in Kronberg (cours d'une maison paysanne à Kronberg)
1901_06	1901-11-20	S.l.	Fantin-Latour, Henri	Scholderer, Otto	Schierholz, Mlle Scholderer, Viktor Scholderer, Luise Philippine Conradine Dubourg, Charlotte Tempelaere, Gustave	Paris	S Hof eines Bauernhauses in Kronberg (cours d'une maison paysanne à Kronberg) S Selbstbildnis (autoportrait)
1901_07	1901-12-05	Paris	Fantin-Latour, Henri	Scholderer, Otto			
1901_08	1901-12-30	S.l.	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Luise Philippine Conradine Scholderer, Viktor Dubourg, Victoria Dubourg, Charlotte		
1902_01	1902-01-25	S.l.	Fantin-Latour, Henri · Dubourg, Victoria	Scholderer, Luise Philippine Conradine · Scholderer, Viktor	Fantin-Latour, Marie		
