Lettre	Date	Lieu de création	Auteur	Destinataire	Personnes mentionnées	Lieux mentionnés	Œuvres mentionnées
1870_01	1870-02-05	Paris	Scholderer, Otto	Fantin-Latour, Henri	Ritter, Monsieur Steinhardt, Karl-Friedrich Ritter, Francine		
1870_02	1870-08-08	Gais (Canton Appenzell), Hôtel du Bœuf	Scholderer, Otto	Fantin-Latour, Henri	Artz, Constant Müller, Otto-Victor Steinhardt, Karl-Friedrich Scholderer, Emilie Napoleon III. Benedetti, Vincent Graan, Jan de Hugo, Victor Thoma, Hans Manet, Edouard Fantin-Latour, Jean-Théodore Müller, Victor Scholderer, Ida Bismarck, Otto von	Paris Munich Gais (Canton Appenzell Rhodes-Extérieures)	
1870_03	1870-08-25	Gais (Canton Appenzell), Hôtel du Bœuf	Scholderer, Otto	Fantin-Latour, Henri	Artz, Constant Steinhardt, Karl-Friedrich Manet, Edouard Fantin-Latour, Jean-Théodore Graan, Jan de	Munich Francfort-sur-le-Main Gais (Canton Appenzell Rhodes-Extérieures) Bonn	S Schweizer Landschaft, Mühle mit Wasserfall und Bäumen (paysage suisse, moulin avec cascade et arbres)
1870_04	1870	Gais (Canton Appenzell), Suisse	Scholderer, Otto	Fantin-Latour, Henri	Graan, Jan de Steinhardt, Karl-Friedrich Artz, Constant Manet, Edouard Bazille, Frédéric Maître, Edmond Fantin-Latour, Jean-Théodore	Paris Gais (Canton Appenzell Rhodes-Extérieures) Paris, Salon	
1871_01	1871-06-15	Paris, 82, rue Bonaparte	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Luise Philippine Conradine Edwards, Edwin Fantin-Latour, Jean-Théodore Bismarck, Otto von Moltke Courbet, Gustave Hugo, Victor Gambetta Whistler, James Abbott MacNeill Ritter Bazille, Frédéric Manet, Edouard Trochu, Louis Jules Legros, Alphonse Pissarro, Camille Steinhardt, Karl-Friedrich	Londres Paris Paris, Salon	F Un atelier aux Batignolles F Le Jugement de Pâris F Le Jugement de Pâris
1871_02	1871-07-17	1. Auckland Road, Battersea Rise, New Wandsworth	Scholderer, Otto	Fantin-Latour, Henri	Piloty, Carl Theodor Leighton, Frédérick Courbet, Gustave Artz, Constant Edwards, Edwin Legros, Alphonse Whistler, James Abbott MacNeill Graan, Jan de Scholderer, Luise Philippine Conradine Müller, Victor Manet, Edouard Thoma, Hans Leibl, Wilhelm Bismarck, Otto von Moltke Gambetta Trochu, Louis Jules Eyssen, Louis Wagner, Richard Thiers, Louis Adolphe Napoléon, Gerome Corot, Jean-Baptiste Camille Daubigny, Charles-François Burnitz, Karl Peter Favre, Jules Constable, John Crome, John Turner, Joseph Mallord William Millais Hook, James Clarke Titien Giorgione Bazille, Frédéric Maître, Edmond McLean, Thomas Ritter Fantin-Latour, Jean-Théodore	Londres, Royal Academy of Arts Londres Paris Munich Düsseldorf Londres, National Gallery Paris, Salon	F Un atelier aux Batignolles S Kleiner Junge mit einem Blumenkorb auf den Knien (portrait d'un petit garçon avec une corbeille de fleurs sur les genoux) S Blumenbinderin (bouquetière) S Junge Dame im Rohrstuhl, einen Brief lesend (jeune femme dans un fauteuil d'osier, lisant une lettre) S Kopie nach Giorgion/Tizian, Fête Champêtre (copie d'après Giorgione/Titien, Fête champêtre) S Zwei grosse Stilleben mit Georginen (Dahlien) I und II (deux grandes natures mortes avec dahlias I et II) F Édouard Manet
1871_03	1871-06-29	1 Aukland Road Battersea Rise New Wandsworth	Scholderer, Otto	Fantin-Latour, Henri	Courbet, Gustave Edwards, Edwin Edwards, Ruth	Londres	
1871_04	1871-07-01	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Courbet, Gustave Corot, Jean-Baptiste Camille Scholderer, Luise Philippine Conradine Goethe, Johann Wolfgang von Whistler, James Abbott MacNeill Legros, Alphonse Millais Raphaël Ingres, Jean-Auguste-Dominique Delacroix, Eugène Müller, Victor Millet, Jean-François Baudelaire, Charles Mantegna, Andrea Maître, Edmond Manet, Edouard Degas, Edgar	Londres Paris Paris, Musée du Luxembourg Munich Londres, National Gallery Paris, galerie italienne du Louvre Londres, Society of French Artists Palais d'Hampton Court (Grand Londres)	
1871_05	1871-08-03	1. Auckland Road Battersea Rise London S.W.	Scholderer, Otto	Fantin-Latour, Henri	Schreyer, Adolphe Artz, Constant Titien Vélasquez, Diego Degas, Edgar Degas, Auguste Kauffmann, Hugo Wilhelm Bracquemond, Felix Michel Ange Tintoret Dubourg, Victoria Courbet, Gustave Scholderer, Luise Philippine Conradine Whistler, James Abbott MacNeill Legros, Alphonse Edwards, Edwin Edwards, Ruth Graan, Jan de Fantin-Latour, Jean-Théodore Manet, Edouard	Londres Paris Londres, National Gallery Paris, Salon	S Zwei grosse Stilleben mit Georginen (Dahlien) I und II (deux grandes natures mortes avec dahlias I et II) S Brieflesendes Mädchen (Jeune femme lisant une lettre) S The Love Story F Édouard Manet S Jäger und Hirsch (chasseur et cerf)
1871_06	1871	Auckland Road, New-Wandsworth, London	Scholderer, Otto	Fantin-Latour, Henri	Müller, Victor Scholderer, Emilie Scholderer, Ida Thoma, Hans Scholderer, Luise Philippine Conradine Edwards, Ruth Edwards, Edwin Keene, Charles Samuel Whistler, James Abbott MacNeill Manet, Edouard Ritter, Francine Maître, Edmond Dubourg, Victoria	Londres, Royal Academy of Arts Londres Paris Munich Londres, Dudley Gallery	
1871_07	1871	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Delacroix, Eugène Baudelaire, Charles Müller, Victor Edwards, Edwin	Londres Paris, Salon	F Hommage à Delacroix F Un coin de table
1871_08	1871	1. Auckland Road New Wandsworth London S.W.	Scholderer, Otto	Fantin-Latour, Henri	Ritter, Francine Ritter, Monsieur Edwards, Edwin Edwards, Ruth Artz, Constant Manet, Edouard Degas, Edgar Balleroy, Albert de Courbet, Gustave Whistler, James Abbott MacNeill Dubourg, Victoria Scholderer, Luise Philippine Conradine McLean, Thomas Fantin-Latour, Jean-Théodore Wallis, Mr.	Londres Paris Paris, Musée du Louvre Londres, Dudley Gallery London, French Gallery	S The Love Story
1871_09	1871-12-22	Paris	Fantin-Latour, Henri	Scholderer, Otto	Véronèse, Paul Jullien, Adolphe Edwards, Edwin Scholderer, Luise Philippine Conradine Whistler, James Abbott MacNeill Steinhardt, Karl-Friedrich Artz, Constant Manet, Edouard Wagner, Richard Le Corrège Giorgione Titien Ritter, Monsieur Ritter, Francine Maître, Edmond Bazille, Frédéric Schumann, Robert Brahms, Johannes Legros, Alphonse	Paris Paris, Musée du Louvre Londres, Dudley Gallery Paris, Salon	F Un coin de table
1872_01	1872-01-24	1. Auckland Road New Wandsworth London	Scholderer, Otto	Fantin-Latour, Henri	Edwards, Edwin Edwards, Ruth Millais Courbet, Gustave Manet, Edouard Burnitz, Karl Peter Thoma, Hans Müller, Victor Scholderer, Ida Durand-Ruel, Paul Cazin, Jean-Charles Scholderer, Luise Philippine Conradine	Londres, Royal Academy of Arts Londres Paris Munich Londres, Society of French Artists Paris, Salon des refusés Paris, Salon de la Société des artistes français Paris, Salon Londres, galerie Durand-Ruel (géré par Deschamps, 1870-1875) Sunbury-on-Thames	F Un coin de table S Szene an der Eisenbahn, zwei Damen und ein Kind mit Hund (Scène sur la voie ferrée, deux dames et un enfant avec un chien)
1872_02	1872-08-15	Bull Inn, Streatly near Reading Berkshire	Scholderer, Otto	Fantin-Latour, Henri	Whistler, James Abbott MacNeill Cazin, Jean-Charles Edwards, Edwin Legros, Alphonse Millais Manet, Edouard Edwards, Ruth Dubourg, Victoria Fantin-Latour, Jean-Théodore Jacquemart, Jules Ferdinand Scholderer, Luise Philippine Conradine	Londres, Royal Academy of Arts Londres Paris Paris, Salon	F Un coin de table F Lilas dans un verre F Lilas (lilas dans une boule de verre, sur fond clair) S Szene an der Eisenbahn, zwei Damen und ein Kind mit Hund (Scène sur la voie ferrée, deux dames et un enfant avec un chien) S Szene am Ufer der Themse (scène sur les bords de la Tamise) S Junge Dame in einem Kahn (jeune femme dans une barque)
1872_03	1872-09-08	Paris	Fantin-Latour, Henri	Scholderer, Otto	Cazin, Jean-Charles Durand-Ruel, Paul Edwards, Edwin Whistler, James Abbott MacNeill Manet, Edouard Scholderer, Luise Philippine Conradine Dubourg, Victoria Balleroy, Albert de	Londres Londres, Society of French Artists Paris, Salon Londres, galerie Durand-Ruel (géré par Deschamps, 1870-1875)	F Un coin de table
1872_04	1872-11-26	London 17 Greek- St. Soho	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Edwards, Edwin Bernheim, Georges Edwards, Ruth Whistler, James Abbott MacNeill Manet, Edouard Legros, Alphonse Deschamps, Charles W. Cazin, Jean-Charles Gonzales, Eva Lhermitte, Léon Durand-Ruel, Paul Courbet, Gustave Thiers, Louis Adolphe Fantin-Latour, Jean-Théodore Dubourg, Victoria Balleroy, Albert de Fantin-Latour, Marie Fantin-Latour, Nathalie	Londres Paris Londres, Dudley Gallery Londres, Society of French Artists Paris, Salon Londres, galerie Durand-Ruel (géré par Deschamps, 1870-1875)	S Ein Hirsch im Wald (un cerf dans la forêt) F Lilas dans un verre S Birkhahn auf grauem Hintergrund darunter auf weissem Marmor ein Fasan mit einer Ente (coq de bruyère brun et gris tacheté, en dessous un faisan et un canard sur du marbre blanc) F Un coin de table F Autoportrait assis devant son chevalet F Autoportrait debout, la palette à la main F Portrait d'Alphonse Legros F Les deux sœurs
1873_01	1873-01-23	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Edwards, Edwin Whistler, James Abbott MacNeill Durand-Ruel, Paul Lhermitte, Léon Manet, Edouard Courbet, Gustave Scholderer, Luise Philippine Conradine Fantin-Latour, Marie Fantin-Latour, Nathalie	Londres Paris, galerie Durand-Ruel	F Un coin de table F Les deux sœurs
1873_02	1873-01-25	London 17 Greek- St. Soho	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Deschamps, Charles W. Durand-Ruel, Paul Whistler, James Abbott MacNeill Edwards, Edwin Manet, Edouard Legros, Alphonse Thoma, Hans Edwards, Ruth Dubourg, Victoria Fantin-Latour, Jean-Théodore Maître, Edmond Artz, Constant	Londres, Royal Academy of Arts Paris, Salon Londres, galerie Durand-Ruel (géré par Deschamps, 1870-1875)	S Birkhahn auf grauem Hintergrund darunter auf weissem Marmor ein Fasan mit einer Ente (coq de bruyère brun et gris tacheté, en dessous un faisan et un canard sur du marbre blanc) S Stilleben mit Möve und Raben, darunter auf dem Marmor ein Wildhase (nature morte avec mouette et corbeau, en dessous un lièvre sur du marbre blanc) S Bildnis der Luise Scholderer (portrait de Louise Scholderer) S Frau Scholderer am Früstücktisch (Madame Scholderer à la table du petit déjeuner) S Jäger und Hirsch (chasseur et cerf) S Porträt der Luise Scholderer (portrait de Luise Scholderer) F Un coin de table F Chrysanthèmes jaunes dans un pot de terre F Aubépines roses dans un verre à champagne S Bildnis der Luise Scholderer (portrait de Louise Scholderer)
1873_03	1873-03-10	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Dubourg, Victoria Deschamps, Charles W. Whistler, James Abbott MacNeill Thoma, Hans Ritter, Francine Manet, Edouard Morisot, Berthe Schumann, Robert Scholderer, Luise Philippine Conradine Maître, Edmond Edwards, Edwin	Paris, Salon	F Nature morte  : coin de table F Portrait de Victoria Dubourg F A la mémoire de Robert Schumann F A la mémoire de Robert Schumann F Étude Femme jetant des fleurs F Femme de dos Étude pour un tableau projeté en hommage à Schumann F A la mémoire de Robert Schumann F Étude Étude pour un tableau projeté en l'honneur de Schumann
1873_04	1873-06-02	London 17 Greek- St. Soho	Scholderer, Otto	Fantin-Latour, Henri	Edwards, Edwin Edwards, Ruth Cazin, Jean-Charles Legros, Alphonse Whistler, James Abbott MacNeill Dubourg, Victoria Morrison, Monsieur Morrison, famille Powerscourt, vicomte Durand-Ruel, Paul Thoma, Hans Manet, Edouard Fortuny y Carbó, Mariano-Jose-Maria-Bernardo Millet, Jean-François Ritter, Francine Ritter, Monsieur Fantin-Latour, Jean-Théodore Reignier, Jean-François Scholderer, Luise Philippine Conradine	Londres, Royal Academy of Arts Londres Paris Paris, Salon	F Nature morte  : coin de table F Portrait de Victoria Dubourg S Zwei kleine Vögel (deux petits oiseaux) S Pfau mit Hasen (paon et lièvre) S Reh mit Fischen (chevreuil et poissons) S Schnee im Schwarzwald (neige dans la Forêt-Noire)
1873_05	1873-06-22	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Whistler, James Abbott MacNeill Edwards, Edwin Fantin-Latour, Jean-Théodore Dubourg, Victoria Scholderer, Luise Philippine Conradine	Londres, Royal Academy of Arts Londres Paris Londres, Society of French Artists Londres, 7th exhibition de la Society of French Artists	F Nature morte  : coin de table F Portrait de Victoria Dubourg S Pfau mit Hasen (paon et lièvre) F Portrait d'Alphonse Legros F Autoportrait assis devant son chevalet F Autoportrait debout, la palette à la main F Les deux sœurs
1874_01	1874-01-09	London Greek - st. Soho Square	Scholderer, Otto	Fantin-Latour, Henri	Dubourg, Victoria Deschamps, Charles W. Schreyer, Adolphe Manet, Edouard Durand-Ruel, Paul Edwards, Edwin McLean, Thomas Scholderer, Luise Philippine Conradine Thoma, Hans Scholderer, Emil Cazin, Jean-Charles Whistler, James Abbott MacNeill Fantin-Latour, Jean-Théodore Maître, Edmond Cazin, Marie	Londres Paris Francfort-sur-le-Main Londres, Dudley Gallery Paris, Salon Londres, 7th exhibition de la Society of French Artists Kronberg im Taunus	F Nature morte  : coin de table F Portrait de Victoria Dubourg F Nature morte (pieds-d'alouette dans un vase, roses trémières et glaïeuls sur la table) S Hof eines Bauernhauses in Kronberg (cours d'une maison paysanne à Kronberg)
1874_02	1874-01-25	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Dubourg, Victoria Manet, Edouard Deschamps, Charles W. Steinhardt, Karl-Friedrich Winkler, Friedrich Monet, Claude Sisley, Alfred Pissarro, Camille Edwards, Edwin McLean, Thomas Edwards, Ruth Schumann, Robert Scholderer, Luise Philippine Conradine Maître, Edmond Fantin-Latour, Jean-Théodore	Londres Paris Francfort-sur-le-Main Londres, Society of French Artists Paris, Salon Londres, 7th exhibition de la Society of French Artists	F Portrait de Victoria Dubourg F Portrait de jeune fille F Nature morte  : coin de table F Les deux sœurs F A la mémoire de Robert Schumann F La fée des Alpes
1874_03	1874-04-26	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Cazin, Jean-Charles Whistler, James Abbott MacNeill Dubourg, Victoria Maître, Edmond Becker von Worms, Jakob Edwards, Edwin Fantin-Latour, Jean-Théodore Deschamps, Charles W. Manet, Edouard Pissarro, Camille Monet, Claude Sisley, Alfred Millet, Jean-François	Londres, Royal Academy of Arts Londres Paris Francfort sur le Main, Städelsches Kunstinstitut Francfort-sur-le-Main Londres, 8th exhibition de la Society of French Artists Londres, Society of French Artists Paris, Salon	F A la mémoire de Robert Schumann F La fée des Alpes F Fleurs (touffe de rhododendrons sur fond clair) F Nature morte (pieds-d'alouette dans un vase, roses trémières et glaïeuls sur la table) S Austern mit Hummer (huîtres et homard) S Jäger und Hirsch (chasseur et cerf) S Schwarzwaldmühle in Kirnbach bei Schiltach (moulin de la Forêt-Noire à Kirnbach près de Schiltach) S Stilleben mit Schinken (nature morte au jambon) S Mittagsmahl (déjeuner) S Stilleben von toter Feldtaube und Wildente F Fleurs et objets divers F Portrait de jeune fille
1874_04	1874-05-20	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Fantin-Latour, Jean-Théodore Ingres, Jean-Auguste-Dominique Fantin-Latour, Nathalie Degas, Edgar Monet, Claude Pissarro, Camille Sisley, Alfred Renoir, Auguste Scholderer, Luise Philippine Conradine Dubourg, Victoria Manet, Edouard Maître, Edmond Prud’hon, Pierre Paul Tassaert, Octave	Paris, Exposition impressionniste, 1ère exposition, atelier Nadar, 1874 Paris, galerie Corps législatif Londres, Royal Academy of Arts Paris, Salon	F Un atelier aux Batignolles F Fleurs et objets divers
1874_05	1874-06-26	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Edwards, Edwin Scholderer, Luise Philippine Conradine Legros, Alphonse Whistler, James Abbott MacNeill Lhermitte, Léon Vélasquez, Diego Cazin, Jean-Charles Ingres, Jean-Auguste-Dominique Dubourg, Victoria	Paris, galerie Corps législatif Londres, Royal Academy of Arts Londres Paris Paris, Salon Londres, Flemish Gallery	F Pivoines blanche boules de neige
1874_06	1874-08-16	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Legros, Alphonse Whistler, James Abbott MacNeill Manet, Edouard Fantin-Latour, Jean-Théodore Dubourg, Victoria Lecoq de Boisbaudran, Horace Sinet, Louis René Hippolyte Valton, Edmond Eugène	Paris Paris, Salon	F Fleurs et objets divers F Étude de femme F Étude de femme Dans la pose de l'Antiope du Corrège, faite en plein air F Étude (Fantin d'après lui-même, en plein air au moyen d'une glace) F Portrait de l'artiste Alphonse Legros
1874_07	1874	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Durand-Ruel, Paul Deschamps, Charles W. Manet, Edouard Edwards, Edwin Legros, Alphonse Whistler, James Abbott MacNeill Cazin, Jean-Charles Degas, Edgar Corot, Jean-Baptiste Camille Scholderer, Luise Philippine Conradine Renoir, Auguste Millet, Jean-François Fantin-Latour, Jean-Théodore Dubourg, Victoria Maître, Edmond Esch, Mlle	Londres Paris Londres, Society of French Artists Paris, Salon Londres, galerie Durand-Ruel (géré par Deschamps, 1870-1875) Londres, 9th exhibition de la Society of French Artists	F Un atelier aux Batignolles F Fleurs et objets divers F Dahlias (Dahlias dans un vase de porcelaine blanc et bleu, fond clair) S Grosses Jagdstilleben (grande nature morte au gibier)
1874_08	1874-12	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Esch, Mlle Dubourg, Victoria Edwards, Edwin Fantin-Latour, Jean-Théodore Delacroix, Eugène Goethe, Johann Wolfgang von Deschamps, Charles W. Renoir, Auguste Legros, Alphonse Millet, Jean-François Scholderer, Luise Philippine Conradine Schumann, Robert Brahms, Johannes Berlioz, Hector Durand-Ruel, Paul	Londres, Society of French Artists Paris, Salon Londres, galerie Durand-Ruel (géré par Deschamps, 1870-1875) Londres, 9th exhibition de la Society of French Artists	F Portrait de Mr et Mrs Edwin Edwards F L'anniversiversaire
1875_01	1875-01-17	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Dubourg, Victoria Esch, Mlle Scholderer, Luise Philippine Conradine Edwards, Edwin Edwards, Ruth Rembrandt Delacroix, Eugène Goethe, Johann Wolfgang von Whistler, James Abbott MacNeill Degas, Edgar Durand-Ruel, Paul Legros, Alphonse Deschamps, Charles W. Cazin, Jean-Charles Corot, Jean-Baptiste Camille Fantin-Latour, Jean-Théodore Maître, Edmond Lascoux, Antoine Jullien, Adolphe	Londres, 11th exhibition de la Society of French Artists Londres, Society of French Artists Paris, Salon Londres, galerie Durand-Ruel (géré par Deschamps, 1870-1875) Londres, 10th exhibition de la Society of French Artists	F Portrait de Mr et Mrs Edwin Edwards S Dead Game  ; Grouse (gibier mort  ; tétras)
1875_02	1875	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Esch, Mlle Ingres, Jean-Auguste-Dominique Mérimée, Prosper Dubourg, Victoria Scholderer, Luise Philippine Conradine Edwards, Edwin Edwards, Ruth Millet, Jean-François Corot, Jean-Baptiste Camille Fortuny y Carbó, Mariano-Jose-Maria-Bernardo Regnault, Henri Maître, Edmond Manet, Edouard	Londres, Royal Academy of Arts Londres Paris Paris, Salon	F Portrait de Mr et Mrs Edwin Edwards S Bildnis der Luise Scholderer (portrait de Louise Scholderer) S Porträt der Luise Scholderer (portrait de Louise Scholderer) S Reiher und Enten, Stilleben (héron et canards, nature morte  ; heron and ducks)
1875_03	1875-02	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Esch, Mlle Rembrandt Edwards, Edwin Edwards, Ruth Scholderer, Luise Philippine Conradine Millet, Jean-François Corot, Jean-Baptiste Camille Whistler, James Abbott MacNeill Legros, Alphonse Manet, Edouard Dubourg, Victoria Maître, Edmond Berlioz, Hector Ingres, Jean-Auguste-Dominique Mérimée, Prosper Bazille, Frédéric Jullien, Adolphe	Paris Paris, Salon Sunbury-on-Thames	F Portrait de Mme Edwin Edwards F Portrait de Miss Edith Crowe
1875_04	1875-01-01	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Edwards, Ruth Edwards, Edwin Esch, Mlle Dubourg, Victoria Corot, Jean-Baptiste Camille Courbet, Gustave Mérimée, Prosper Legros, Alphonse Whistler, James Abbott MacNeill Carlyle, Thomas Boehm, Joseph Edgar Sir Manet, Edouard Maître, Edmond	Londres Paris Paris, Musée du Louvre Londres, National Gallery Paris, Salon	F Portrait de Mr et Mrs Edwin Edwards
1875_05	1875-04-04	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Manet, Edouard Monet, Claude Sisley, Alfred Renoir, Auguste Pissarro, Camille Morisot, Berthe Manet, Eugène Millet, Jean-François Corot, Jean-Baptiste Camille Edwards, Edwin Edwards, Ruth Legros, Alphonse Cazin, Jean-Charles Whistler, James Abbott MacNeill Esch, Mlle Maître, Edmond Dubourg, Victoria Mérimée, Prosper Deschamps, Charles W.	Londres, Royal Academy of Arts Paris Paris, Salon	F Portrait de Miss Edith Crowe F Portrait de Mr et Mrs Edwin Edwards
1875_06	1875-04	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Edwards, Edwin Edwards, Ruth Scholderer, Luise Philippine Conradine Fantin-Latour, Jean-Théodore	Paris, Salon	
1875_07	1875-04-25	[Paris]	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Esch, Mlle Fantin-Latour, Henri	Londres, Royal Academy of Arts Paris, Salon	S Reiher und Enten, Stilleben (héron et canards, nature morte  ; heron and ducks) S Bildnis der Luise Scholderer (portrait de Louise Scholderer)
1875_08	1875	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Edwards, Edwin Edwards, Ruth Deschamps, Charles W. Fantin-Latour, Jean-Théodore Morrison, Madame Esch, Mlle Dubourg, Victoria Scholderer, Luise Philippine Conradine	Londres, Royal Academy of Arts Paris Paris, Salon	F Portrait de Mr et Mrs Edwin Edwards F Fleurs (Azalées blanches et violettes de Parme) S Bildnis der Luise Scholderer (portrait de Louise Scholderer) S Porträt der Madame Morrison (portrait de Madame Morrison)
1875_09	1875-06-11	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Millet, Jean-François Corot, Jean-Baptiste Camille Deschamps, Charles W. Cazin, Jean-Charles Edwards, Edwin Lhermitte, Léon Scholderer, Luise Philippine Conradine Dubourg, Victoria Maître, Edmond Edwards, Ruth	Paris, Hôtel Drouot Paris, Salon	
1875_10	1875-06-01	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Corot, Jean-Baptiste Camille Millet, Jean-François Scholderer, Luise Philippine Conradine Lhermitte, Léon Edwards, Edwin Edwards, Ruth Deschamps, Charles W. Dubourg, Victoria	Londres Paris Paris, Salon	F Roses (Roses de Perse jaunes dans un verre à pied, petit feuillage)
1875_11	1875-06-26	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Fantin-Latour, Henri Edwards, Edwin Edwards, Ruth Corot, Jean-Baptiste Camille Millet, Jean-François Manet, Edouard Wagner, Richard Schuré, Édouard Napoléon III Goethe, Johann Wolfgang von Dubourg, Charlotte Scholderer, Luise Philippine Conradine	Londres Paris Paris, Salon Bruxelles, Exposition générale des Beaux-Arts	F Portrait de Mr et Mrs Edwin Edwards
1875_12	1875	Woodlands Darlington	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Emilie Scholderer, Luise Philippine Conradine Edwards, Edwin Edwards, Ruth Dubourg, Victoria Esch, Mlle	Londres Paris	F Portrait de Mr et Mrs Edwin Edwards
1875_13	1875-09-12	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Luise Philippine Conradine Edwards, Edwin Edwards, Ruth Esch, Mlle Dubourg, Victoria	Paris Francfort-sur-le-Main	
1875_14	1875-09-27	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Esch, Mlle Dubourg, Victoria Scholderer, Ida Scholderer, Emilie	Paris, Musée du Louvre	
1875_15	1875-01-01	29 Eschenheimerstrasse, Frankfurt a/Main	Scholderer, Otto	Fantin-Latour, Henri	Dubourg, Hélène Dubourg, Jean-Theodore La Caze, Louis Scholderer, Luise Philippine Conradine Scholderer, Ida Raff, Joachim Wagner, Richard Brahms, Johannes Chardin, Jean-Baptiste Siméon Thoma, Hans Scholderer, Adolphe Scholderer, Emil Dubourg, Victoria Schopenhauer, Arthur Esch, Mlle Brouwer, Adriaen Heem, Jan Dubourg, Charlotte	Londres Paris Paris, Musée du Louvre Munich Düsseldorf Dresde Cassel (Hesse)	S Stilleben eines Fasanenpaars auf hellem Grund über grünen Zweigen (nature morte d'une paire de faisans sur un fond clair au-dessus de branches de verdure) F La famille Dubourg
1875_16	1875-11-03	[Paris]	Fantin-Latour, Henri	Scholderer, Otto	Edwards, Edwin Edwards, Ruth Dubourg, Victoria Scholderer, Luise Philippine Conradine Dubourg, Jean-Theodore Dubourg, Hélène	Londres, Royal Academy of Arts Londres Paris Francfort-sur-le-Main Londres, Dudley Gallery Londres, Society of French Artists Paris, Salon	F Fleurs (bouquet de dahlias)
1875_17	1875-12-05	29 Eschenheimerstrasse, Frankfurt a/Main	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Edwards, Edwin Edwards, Ruth Morrison, Madame Bach, Johann Sebastian Dubourg, Victoria Thoma, Hans Meyerbeer, Giacomo Böcklin Schopenhauer, Arthur Dubourg, Jean-Theodore Dubourg, Hélène Deschamps, Charles W.	Londres Paris	S Stilleben eines Fasanenpaars auf hellem Grund über grünen Zweigen (nature morte d'une paire de faisans sur un fond clair au-dessus de branches de verdure) S Jagdstilleben mit aufgehängtem Hasen und einer Ente (nature morte lièvre suspendu et canard) S Zwei kleine Vögel (deux petits oiseaux)
1875_18	1875-12-15	Paris	Fantin-Latour, Henri	Scholderer, Otto	Scholderer, Luise Philippine Conradine Dubourg, Victoria Edwards, Edwin Edwards, Ruth Berlioz, Hector	Londres Paris Francfort-sur-le-Main Londres, Dudley Gallery Paris, Salon	F Portrait de Mr et Mrs Edwin Edwards F L'anniversiversaire
1876_01	1876-01-05	8 Clarendon Road Putney	Scholderer, Otto	Fantin-Latour, Henri	Scholderer, Luise Philippine Conradine Deschamps, Charles W. Edwards, Edwin Edwards, Ruth Morrison, famille Berlioz, Hector Dubourg, Victoria Dubourg, Jean-Theodore Esch, Mlle Balzac, Honoré de	Londres, Royal Academy of Arts Paris Francfort-sur-le-Main Paris, Salon	S Selbstbildnis (autoportrait) S Stilleben eines Fasanenpaars auf hellem Grund über grünen Zweigen (nature morte d'une paire de faisans sur un fond clair au-dessus de branches de verdure) S Jagdstilleben mit aufgehängtem Hasen und einer Ente (nature morte lièvre suspendu et canard) S Zwei kleine Vögel (deux petits oiseaux) F Portrait de Mr et Mrs Edwin Edwards S Porträt der Madame Morrison (portrait de Madame Morrison) S Porträt der Miss Chermside (Portrait de Mrs Chermside) F L'anniversiversaire
