ID	Auteur	No de catalogue	Titre	Date	Technique	Dimensions	Lieu de conservation	Renvoi dans lettre no
#17687	Fantin	F.214	Féerie	1863		98,8 x 131,5 cm	Montréal, The Montreal Museum of Fine Arts, Tempest Fund	1863_01 1885_02
#17688	Fantin	F.215	La lecture (portrait de Marie Fantin-Latour)	1863	huile sur toile	100 x 80 cm	Tournai, musée des Beaux-Arts	1863_01 1877_02 1882_04
#17901	Fantin	F.2213	Portrait de jeune fille	1874	huile sur toile	36 x 31 cm	Gand, musée des Beaux-Arts	1874_02 1874_03
#17905	Fantin	F.2243	Baigneuse inquiète		huile sur toile	23 x 12 cm	non localisé	1876_15 1876_16 1876_17
#17906	Fantin	F.2245	Baigneuse debout		huile sur toile	25,5 x 15,3 cm	non localisé	1876_15 1876_16 1876_17
#17689	Fantin	F.225	Copie d'après Le Radeau de la Méduse de Géricault (1817)	1864	huile sur toile	61,5 x 89,5 cm	non localisé	1865_02
#17691	Fantin	F.227	Hommage à Delacroix	1864	huile sur toile	160 x 250 cm	Paris, musée d’Orsay	1871_07 1878_08 1892_02
#17907	Fantin	F.2293	Portrait de Fantin	1854	pierre noire et estompe sur vergé	29 x 24 cm	Detroit, The Detroit Institute of Fine Arts	1863_01
#17692	Fantin	F.236	Portrait de Mme Edwin Edwards	1861	huile sur toile	61 x 51 cm	Paris, musée du Petit Palais	1875_03
#17693	Fantin	F.239	Fleurs	1864	huile sur toile	56 x 46 cm	Londres, National Gallery	1878_06 1880_15 1891_03
#17902	Fantin	F.2437	Le toast et La vérité	1864	mine de plomb sur papier vergé		Paris, musée du Louvre, cabinet des Dessins	1865_02 1865_03 1865_05 1865_06 1865_07 1865_10 1865_14 1865_16 1878_08
#17903	Fantin	F.2438	Tentation de saint Antoine	1868		16 x 16 cm	Paris, musée du Louvre, cabinet des Dessins	1877_08
#17694	Fantin	F.263	Copie, quatrième version des Noces de Cana de Véronèse (1562)	1865	huile sur toile	84 x 125 cm	Alger, musée national des Beaux-Arts	1865_02 1865_06 1865_15
#17696	Fantin	F.275	Portrait de sa sœur Marie	1866	huile sur toile	18,5 x 15,5 cm	détruit	1866_02
#17697	Fantin	F.294	Copie, cinquième version des Noces de Cana de Véronèse (1562)	1865	huile sur toile	170 x 250 cm	Belfast, Ulster	1865_16
#17698	Fantin	F.296	Édouard Manet	1867	huile sur toile	117,5 x 90 cm	Chicago, Art Institute	1871_02 1871_05 1876_03 1880_04
#17666	Fantin	F.32	Étude de femme	1855	huile sur toile	45 x 35 cm	non localisé	1874_06
#17699	Fantin	F.327	Nature morte (pieds-d'alouette dans un vase, roses trémières et glaïeuls sur la table)	1896	huile sur toile	65 x 55 cm	Édimbourg, The National Trust of Scotland	1874_01 1874_03
#17701	Fantin	F.357	Copie d'après la Vierge au lapin de Titien (vers 1530)	1870	huile sur toile	17,5 x 24	non localisé	1879_18
#17702	Fantin	F.409	Un atelier aux Batignolles	1870	huile sur toile	204 x 273,5 cm	Paris, musée d’Orsay	1869_01 1869_02 1871_01 1871_02 1874_04 1874_07 1876_02 1879_11 1892_01 1892_02 1892_04
#17703	Fantin	F.412	La lecture	1870	huile sur toile	97 x 127 cm	Lisbonne, Fondation Gulbenkian	1877_02
#17704	Fantin	F.500	Le Jugement de Pâris	1871	huile sur toile		non localisé	1871_01 1886_04
