,url,long,lat
0,https://www.geonames.org/2990611,2.26965,48.8846
1,https://www.geonames.org/2869894,6.44172,51.18539
2,https://www.geonames.org/3205815,6.13364,51.11554
3,https://www.geonames.org/3036784,2.78186,50.29301
4,https://www.geonames.org/2782113,13.33333,47.33333
5,https://www.geonames.org/2894637,6.5,51.1
6,https://www.geonames.org/3451190,-43.18223,-22.90642
7,https://www.geonames.org/2800866,4.34878,50.85045
8,https://www.geonames.org/3370751,-5.7,-15.95
9,https://www.geonames.org/490068,21.87851,55.08392
10,https://www.geonames.org/2994215,1.3014,48.77047
11,https://www.geonames.org/2751306,4.8345,51.71278
12,https://www.geonames.org/2981041,2.20289,48.84598
13,https://www.geonames.org/264371,23.72784,37.98376
14,https://www.geonames.org/2925177,7.85222,47.9959
15,https://www.geonames.org/3165524,7.68682,45.07049
16,https://www.geonames.org/2988394,2.2769,48.8637
17,https://www.geonames.org/2992229,2.3434,48.98826
18,https://www.geonames.org/3174659,10.32615,43.54427
19,https://www.geonames.org/2865657,6.52253,51.13364
20,https://www.geonames.org/2510769,-4,40
21,https://www.geonames.org/2972811,6.16044,49.35994
22,https://www.geonames.org/3068927,17.90257,49.93866
23,https://www.geonames.org/1269750,79,22
24,https://www.geonames.org/3017341,2.23333,48.98333
25,https://www.geonames.org/2949235,8.24878,50.0415
26,https://www.geonames.org/3025860,3.21857,49.61514
27,https://www.geonames.org/683506,26.10626,44.43225
28,https://www.geonames.org/2783549,4.13065,50.68502
29,https://www.geonames.org/2989877,3,49.58333
30,https://www.geonames.org/3009071,2.71667,48.86667
31,https://www.geonames.org/3020925,2.01113,48.52772
32,https://www.geonames.org/2991831,5.81027,49.44487
33,https://www.geonames.org/491687,32.0401,54.7818
34,https://www.geonames.org/2984701,-4.09795,47.99597
35,https://www.geonames.org/3021000,3.07922,50.37069
36,https://www.geonames.org/3023363,3.32381,49.52083
37,https://www.geonames.org/2923543,8.78472,49.65083
38,https://www.geonames.org/3553478,-82.38304,23.13302
39,https://www.geonames.org/2951648,6.57128,50.99258
40,https://www.geonames.org/3114472,-1.64323,42.81687
41,https://www.geonames.org/3026204,1.69362,46.81248
42,https://www.geonames.org/2523118,13.93457,37.62304
43,https://www.geonames.org/6621565,6.49249,51.21011
44,n/a,,
45,https://www.geonames.org/2973675,2.22929,48.87143
46,https://www.geonames.org/2972315,1.44367,43.60426
47,https://www.geonames.org/6545275,2.26366,48.84694
48,https://www.geonames.org/2979783,2.0904,48.89643
49,https://www.geonames.org/3005866,-0.77019,48.07247
50,https://www.geonames.org/3177426,10.27788,42.77663
51,https://www.geonames.org/2985105,2.23669,49.21679
52,https://www.geonames.org/2968139,2.30002,48.65953
53,https://www.geonames.org/4335045,-90.07507,29.95465
54,https://www.geonames.org/3038375,3.5,49.5
55,https://www.geonames.org/2809346,8.24932,50.08258
56,https://www.geonames.org/2950994,6.86521,51.16338
57,https://www.geonames.org/258466,26.27655,39.20353
58,https://www.geonames.org/2661604,7.57327,47.55839
59,https://www.geonames.org/3029162,1.85635,50.95194
60,https://www.geonames.org/8449429,0.18969,47.1799
61,https://www.geonames.org/2867714,11.57549,48.13743
62,https://www.geonames.org/3181928,11.33875,44.49381
63,https://www.geonames.org/3035828,5.38726,47.19255
64,https://www.geonames.org/12097532,-0.67258,48.2774
65,https://www.geonames.org/2825297,9.17702,48.78232
66,https://www.geonames.org/2842566,13.25,51
67,https://www.geonames.org/2869073,7.6,50.3638
68,https://www.geonames.org/2660646,6.14569,46.20222
69,https://www.geonames.org/1814991,105,35
70,https://www.geonames.org/2948079,11.71096,53.76947
71,https://www.geonames.org/3037854,2.3,49.9
72,https://www.geonames.org/3489941,-77.37122,18.17717
73,https://www.geonames.org/2658581,8.05753,46.19451
74,https://www.geonames.org/2755420,4.70833,52.01667
75,https://www.geonames.org/3024635,3.08682,45.77969
76,https://www.geonames.org/2970358,3.29405,49.3587
77,https://www.geonames.org/3031137,2.24128,48.83545
78,https://www.geonames.org/112931,51.42151,35.69439
79,https://www.geonames.org/2988507,2.3488,48.85341
80,https://www.geonames.org/2786318,5.86674,50.48375
81,https://www.geonames.org/3035641,2.24553,48.56289
82,https://www.geonames.org/2980916,2.35387,48.93564
83,https://www.geonames.org/2990999,6.18496,48.68439
84,https://www.geonames.org/2921837,6.11763,50.96745
85,https://www.geonames.org/2755251,6.56667,53.21917
